,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi
23,2020-02-25 18:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,1,0,0,1,1
24,2020-02-25 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,0,0,0,0,0,0,2
25,2020-02-25 18:00:00,ITA,15,Campania,40.83956555,14.25084984,0,0.0,0,0,0,0,0,0,0,10
26,2020-02-25 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,15,2.0,17,9,26,8,0,0,26,391
27,2020-02-25 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0.0,0,0,0,0,0,0,0,89
28,2020-02-25 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,1,1.0,2,0,2,0,1,0,3,124
29,2020-02-25 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,1,0.0,1,0,1,1,0,0,1,39
30,2020-02-25 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,79,25.0,104,127,231,65,0,9,240,3700
31,2020-02-25 18:00:00,ITA,11,Marche,43.61675973,13.5188753,0,0.0,0,0,0,0,0,0,0,21
32,2020-02-25 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0.0,0,0,0,0,0,0,0,0
33,2020-02-25 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0.0,2,1,3,0,0,0,3,141
34,2020-02-25 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0.0,0,0,0,0,0,0,0,0
35,2020-02-25 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0.0,0,0,0,0,0,0,0,1
36,2020-02-25 18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0.0,2,2,3,3,0,0,3,5
37,2020-02-25 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0.0,2,0,2,2,0,0,2,296
38,2020-02-25 18:00:00,ITA,4,Trento,46.06893511,11.12123097,0,0.0,0,0,0,0,0,0,0,3
39,2020-02-25 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0.0,0,0,0,0,0,0,0,8
40,2020-02-25 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,7
41,2020-02-25 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,12,7.0,19,23,42,10,0,1,43,3780
42,2020-02-26 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0.0,0,0,0,0,0,0,0,13
43,2020-02-26 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,0,0,0,0,0,0,0
44,2020-02-26 18:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,1
45,2020-02-26 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,0,0,0,0,0,0,3
46,2020-02-26 18:00:00,ITA,15,Campania,40.83956555,14.25084984,0,0.0,0,0,0,0,0,0,0,10
47,2020-02-26 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,20,3.0,23,23,46,20,0,1,47,577
48,2020-02-26 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0.0,0,0,0,0,0,0,0,114
49,2020-02-26 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0.0,0,0,0,-2,3,0,3,124
50,2020-02-26 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,6,0.0,6,5,11,10,0,0,11,66
51,2020-02-26 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,79,25.0,104,145,249,18,0,9,258,3208
52,2020-02-26 18:00:00,ITA,11,Marche,43.61675973,13.5188753,1,0.0,1,0,1,1,0,0,1,28
53,2020-02-26 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0.0,0,0,0,0,0,0,0,0
54,2020-02-26 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0.0,2,1,3,0,0,0,3,156
55,2020-02-26 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0.0,0,0,0,0,0,0,0,0
56,2020-02-26 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0.0,0,0,0,0,0,0,0,1
57,2020-02-26 18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0.0,1,2,3,0,0,0,3,5
58,2020-02-26 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0.0,2,0,2,0,0,0,2,363
59,2020-02-26 18:00:00,ITA,4,Trento,46.06893511,11.12123097,0,0.0,0,0,0,0,0,0,0,3
60,2020-02-26 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0.0,0,0,0,0,0,0,0,8
61,2020-02-26 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,7
62,2020-02-26 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,16,8.0,24,45,69,27,0,2,71,4900
63,2020-02-27 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0.0,1,0,1,1,0,0,1,33
64,2020-02-27 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,0,0,0,0,0,0,0
65,2020-02-27 18:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,2
66,2020-02-27 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,0,0,0,0,0,0,14
67,2020-02-27 18:00:00,ITA,15,Campania,40.83956555,14.25084984,2,0.0,2,1,3,3,0,0,3,10
68,2020-02-27 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,36,6.0,42,54,96,50,0,1,97,1033
69,2020-02-27 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0.0,0,0,0,0,0,0,0,141
70,2020-02-27 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0.0,0,0,0,0,3,0,3,552
71,2020-02-27 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,9,0.0,9,10,19,8,0,0,19,78
72,2020-02-27 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,172,41.0,213,136,349,100,40,14,403,3320
73,2020-02-27 18:00:00,ITA,11,Marche,43.61675973,13.5188753,2,1.0,3,0,3,2,0,0,3,46
74,2020-02-27 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0.0,0,0,0,0,0,0,0,0
75,2020-02-27 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0.0,2,0,2,-1,0,0,2,156
76,2020-02-27 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0.0,1,0,1,1,0,0,1,0
77,2020-02-27 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0.0,0,0,0,0,0,0,0,1
78,2020-02-27 18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0.0,1,1,2,-1,2,0,4,5
79,2020-02-27 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0.0,2,0,2,0,0,0,2,410
80,2020-02-27 18:00:00,ITA,4,Trento,46.06893511,11.12123097,0,0.0,0,0,0,0,0,0,0,32
81,2020-02-27 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0.0,0,0,0,0,0,0,0,8
